,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
29,2021-08-16,731.2879833072788,619.6971185144984,838.0081594819623,731.2879833072788,731.2879833072788,-3.6475952903949587,-3.6475952903949587,-3.6475952903949587,-3.6475952903949587,-3.6475952903949587,-3.6475952903949587,0.0,0.0,0.0,727.6403880168838
30,2021-08-17,734.4029425679506,616.7276720801071,841.1147253316178,734.4029425679506,734.4029425679506,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,-8.939251645284704,0.0,0.0,0.0,725.4636909226659
31,2021-08-18,737.5179018286225,617.009478998217,833.6778625426099,737.5179018286225,737.5179018286225,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,-6.863497168409446,0.0,0.0,0.0,730.654404660213
32,2021-08-19,740.6328610892944,610.3362663838593,831.6027925239099,740.6328610892944,740.6328610892944,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,-15.316795300330911,0.0,0.0,0.0,725.3160657889634
33,2021-08-20,743.7478271438868,610.0149800743602,838.15980765336,743.7478271438868,743.7478271438868,-19.7238123655693,-19.7238123655693,-19.7238123655693,-19.7238123655693,-19.7238123655693,-19.7238123655693,0.0,0.0,0.0,724.0240147783175
34,2021-08-23,753.092725307664,639.8401054371865,860.8208816379313,753.092725307664,753.092725307664,-3.6475952904224678,-3.6475952904224678,-3.6475952904224678,-3.6475952904224678,-3.6475952904224678,-3.6475952904224678,0.0,0.0,0.0,749.4451300172415
35,2021-08-24,756.2076913622564,639.5415887679782,868.2779428052546,756.2076913622564,756.2076913622564,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,-8.939251645270625,0.0,0.0,0.0,747.2684397169858
36,2021-08-25,759.3226574168488,643.767129563993,868.8391378392735,759.3226574168488,759.3226574168488,-6.863497168397322,-6.863497168397322,-6.863497168397322,-6.863497168397322,-6.863497168397322,-6.863497168397322,0.0,0.0,0.0,752.4591602484514
37,2021-08-26,762.437623471441,632.949443611109,859.6554230316383,762.437623471441,762.437623471441,-15.316795300272856,-15.316795300272856,-15.316795300272856,-15.316795300272856,-15.316795300272856,-15.316795300272856,0.0,0.0,0.0,747.1208281711682
38,2021-08-27,765.5525895260334,640.944146431345,854.2499161705824,765.5525895260334,765.5525895260334,-19.723812365552682,-19.723812365552682,-19.723812365552682,-19.723812365552682,-19.723812365552682,-19.723812365552682,0.0,0.0,0.0,745.8287771604807
39,2021-08-30,774.8974876898108,651.8628019412175,889.8845318709069,774.8974876898108,774.8974876898108,-3.647595290449975,-3.647595290449975,-3.647595290449975,-3.647595290449975,-3.647595290449975,-3.647595290449975,0.0,0.0,0.0,771.2498923993608
40,2021-08-31,778.0124537444029,657.0641615928448,877.1598673405932,778.0124537444029,778.0124537444029,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,-8.939251645285463,0.0,0.0,0.0,769.0732020991175
41,2021-09-01,781.1905538141741,668.010180204333,887.2118467381835,781.1905538141741,781.1905538141741,-6.863497168405573,-6.863497168405573,-6.863497168405573,-6.863497168405573,-6.863497168405573,-6.863497168405573,0.0,0.0,0.0,774.3270566457685
42,2021-09-02,784.3686538839451,652.9132441333097,881.1775148115371,784.3686538839451,784.3686538839451,-15.316795300291366,-15.316795300291366,-15.316795300291366,-15.316795300291366,-15.316795300291366,-15.316795300291366,0.0,0.0,0.0,769.0518585836537
43,2021-09-03,787.546753953716,656.4023830187933,875.956353226868,787.546753953716,787.546753953716,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,0.0,0.0,0.0,767.8229415881863
44,2021-09-07,800.2591542328003,680.5511826610959,901.7179384995471,800.2591542328003,800.2591542328003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,0.0,0.0,0.0,791.3199025875
45,2021-09-08,803.4372543025712,688.5034571358717,914.2667975691307,803.4372543025712,803.4372543025712,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,0.0,0.0,0.0,796.5737571341778
46,2021-09-09,806.6153543723422,678.7290364499895,896.739718276411,806.6153543723422,806.6153543723422,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,0.0,0.0,0.0,791.2985590720479
47,2021-09-10,809.7934544421132,680.3128225953005,901.008127115553,809.7934544421132,809.7934544421132,-19.723812365506795,-19.723812365506795,-19.723812365506795,-19.723812365506795,-19.723812365506795,-19.723812365506795,0.0,0.0,0.0,790.0696420766064
48,2021-09-13,819.3277546514263,704.8441777157976,927.8464425866744,819.3277546514263,819.3277546514263,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,0.0,0.0,0.0,815.6801593610647
49,2021-09-14,822.6202971665778,707.3843800706608,925.7688959152565,822.6202971665778,822.6202971665778,-8.939251645298592,-8.939251645298592,-8.939251645298592,-8.939251645298592,-8.939251645298592,-8.939251645298592,0.0,0.0,0.0,813.6810455212792
50,2021-09-15,825.9128396817291,709.2204590245996,917.0285218013996,825.9128396817291,825.9128396817291,-6.863497168401701,-6.863497168401701,-6.863497168401701,-6.863497168401701,-6.863497168401701,-6.863497168401701,0.0,0.0,0.0,819.0493425133274
51,2021-09-16,829.2053821968805,702.0751811991565,928.4708042434173,829.2053821968805,829.2053821968805,-15.316795300312783,-15.316795300312783,-15.316795300312783,-15.316795300312783,-15.316795300312783,-15.316795300312783,0.0,0.0,0.0,813.8885868965676
52,2021-09-17,832.4979247120318,704.4536392353398,919.995946847288,832.4979247120318,832.4979247120318,-19.72381236560229,-19.72381236560229,-19.72381236560229,-19.72381236560229,-19.72381236560229,-19.72381236560229,0.0,0.0,0.0,812.7741123464295
53,2021-09-20,842.375552257486,730.2651395067727,950.5177976444513,842.375552257486,842.375552257486,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,0.0,0.0,0.0,838.7279569670652
54,2021-09-21,845.6680947726372,727.3564549680917,944.6801508018733,845.6680947726372,845.6680947726372,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,0.0,0.0,0.0,836.7288431273817
55,2021-09-22,848.9606372877887,727.7388389435265,946.7062141282302,848.9606372877887,848.9606372877887,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,0.0,0.0,0.0,842.0971401193987
56,2021-09-23,852.25317980294,726.8012941767684,959.3581376754482,852.25317980294,852.25317980294,-15.316795300323495,-15.316795300323495,-15.316795300323495,-15.316795300323495,-15.316795300323495,-15.316795300323495,0.0,0.0,0.0,836.9363845026165
57,2021-09-24,855.5459153927849,730.86425569955,958.0226137565751,855.5459153927849,855.5459153927849,-19.723812365585662,-19.723812365585662,-19.723812365585662,-19.723812365585662,-19.723812365585662,-19.723812365585662,0.0,0.0,0.0,835.8221030271992
58,2021-09-27,865.4241221623198,753.8880289265993,975.1563393353587,865.4241221623198,865.4241221623198,-3.6475952904165587,-3.6475952904165587,-3.6475952904165587,-3.6475952904165587,-3.6475952904165587,-3.6475952904165587,0.0,0.0,0.0,861.7765268719032
59,2021-09-28,868.7168577521646,748.1401873443848,975.27916757406,868.7168577521646,868.7168577521646,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,0.0,0.0,0.0,859.7776061068942
60,2021-09-29,872.0095933420095,760.2071729022241,976.9756491708175,872.0095933420095,872.0095933420095,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,0.0,0.0,0.0,865.1460961736111
61,2021-09-30,875.3023289318545,749.3617251099064,969.5031750568254,875.3023289318545,875.3023289318545,-15.316795300342005,-15.316795300342005,-15.316795300342005,-15.316795300342005,-15.316795300342005,-15.316795300342005,0.0,0.0,0.0,859.9855336315125
62,2021-10-01,878.5950645216993,744.0242082687664,971.3515352269292,878.5950645216993,878.5950645216993,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,0.0,0.0,0.0,858.871252156143
63,2021-10-04,888.4732712912341,773.971621537871,993.010449217435,888.4732712912341,888.4732712912341,-3.647595290444068,-3.647595290444068,-3.647595290444068,-3.647595290444068,-3.647595290444068,-3.647595290444068,0.0,0.0,0.0,884.82567600079
64,2021-10-05,891.7660068810791,771.4115147969758,999.9580563614851,891.7660068810791,891.7660068810791,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,-8.939251645285271,0.0,0.0,0.0,882.8267552357938
